Name,About
Christina Nielsen,"Christina Nielsen Design is a full service design firm catering to high end residential and commercial clients in the US and internationally. A resounding love for textiles and old school craftsmanship is evident throughout Christina's sophisticated yet refined spaces. Her layered mix of clean and contemporary with eclectic and antique results in projects that feel authentic, intentional and curated over time.

Having lived in both New York and London, those experiences informed her bold design eye and exposed her to the world of art, fashion and European interiors. Known for her playful sensibility, the most pivotal part of Christina's aesthetic is a fusion of elegance with livability.    

Christina began her career working in the editorial department at Vogue Magazine. She holds a Bachelor’s Degree in Art History and Photography from New York University, and a Master’s Degree in Contemporary Art from Sotheby’s Institute of Art. In 2017, Christina opened her firm which is based in New York. Christina’s work has been featured in US and international publications such as Frederic, House & Garden, The Wall Street Journal, House Beautiful, 1st Dibs, CT Cottages and Gardens, Hamptons Cottages and Gardens, British Vogue, and more.  

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

I look forward to connecting with you on all things home!"
Nina Magon,"Renowned for creating spectacular spaces, Nina Magon, founder and principal of the Nina Magon Studio, is a multifaceted interior designer, delivering luxurious residential, commercial, and hospitality projects, inclusive of a curated collection of lifestyle product designs. Her edgy and daring aesthetic infuses each design with her signature style by using bold elements, color, and timeless modernity. Nina creates uniquely luxurious spaces and pieces inspired by worldly cultures, which excite the senses and deliver excellence to her discerning clientele. 

Nina has received accolades and global recognition for her exquisite collection of work. She is a preferred designer to the celebrities and star athletes and has also worked directly with the royal family of the United Arab Emirates. She has been featured multiple times in global and distinguished publications such as AD, Elle Decor, Interior Design Magazine, Hospitality Design Magazine, Luxe Magazine, House Beautiful, The Robb Report, WSJ and Forbes to name a few.

A few things I can advise on:
• Floor Plan Layouts
• Stores and Brands to Consider
• Styling
• Paint/Wall Treatments and Drapery/Window Treatments
• Fixtures, Finishes and Trims
• Career Advice for Aspiring Designers
• Cabinetry and Built-ins
• Product Branding
• Creative Direction"
Purvi Padia,"Purvi is the founder & creative director of Purvi Padia Interiors and an entertaining expert.  Purvi has grounded her studio and philosophy on the idea that residential luxury and style are not concrete ideas but rather moments of art and personal expression.  She strives to mix different genres of design to create spaces that are effortlessly curated and exude a casual elegance.

Her work has been featured in Arch Digest, Forbes, Elle Decor, Vogue, Luxe, The Spruce & House Beautiful to name a few.

She’s also highly regarded in the NYC philanthropy community and founded UNICEF’s the LION Fund which serves 20 million of India’s most vulnerable children.

A few of the things I can advise on:
- Furniture selection and placement
- Paint and wall treatments
- Floor plan layouts 
- Stores & brands to consider 
- Styling (shelves, walls, areas, etc)
- Fixtures, furnishes, trims
- Tablescapes
- Party planning 
- Career advice for aspiring designers
& more!

I love helping clients create the home (or dinner party!) of their dreams, and look forward to collaborating with you!"
Danielle Colding,"Renowned Interior Designer based in NYC

Specializing in high-end residential + commercial design in the US and abroad

Features: Elle Decor A-List (2020, 2021, 2022), Architectural Digest, The Today Show, Apartment Therapy, Rue Magazine, The Huffington Post, Lonny & more. 

TV: HGTV Design Star winner Season 7. Host of “Shop This Room” on HGTV. 

Books: In The Company of Women, Aphrochic’s Remix: Decorating with Culture, Objects & Soul 

Classic elegant spaces with comfortable, layered eclectic charm are hallmarks of Danielle’s work

Things I can advise on:
- floor plan layout/ space planning
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- color selections
- how to personalize your space 
- incorporating meaningful elements into your space
- where and how to start on the design process
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Mollie Ranize,"Mollie is the founder of Dmar Interiors, a full-service interior design firm, based in Los Angeles. 

Known for her California Modern style, Mollie’s designs have been featured on over a dozen HGTV shows such as House Hunters Renovation, House Crashers and Flip or Flop.  Her work has also been featured in national and international publications such as Living Etc., 25 Beautiful Homes, Traditional Homes magazine, Rue Magazine and more.

Leading the way in our design process is our “3T Rule”.  This means that every design we provide emphasizes an aesthetic that is Tasteful, Tailored and Timeless.

Dmar Interiors has successfully completed hundreds of high-end designs (both residential and commercial) for discerning clientele in the entertainment, athletic, tech, financial, law and medical industries.  Project locations include: Beverly Hills, Pacific Palisades, Brentwood, Montecito, Mammoth, Sun Valley, Manhattan and Atlanta to name a few.

Things Mollie can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-in suggestions
-creative direction 
- and more!

I have spent over 20 years honing my craft and I’m grateful to have this platform to be able to help you! Let’s chat!"
Jessica Davis,"Interior designer and founder of Atelier Davis & creative director and founder of Nest Studio hardware. As seen in Elle Decor, The New York Times, Architectural Digest, Veranda, WSJ, Domino & more. 

Atelier Davis is a full-service, multi-faceted design studio that oversees residential and hospitality interiors, furniture, product and landscape design. Jessica is known for her ability to enhance the original bones of an interior, while also modernizing spaces with an unexpected mix of furniture and decoration. She has worked on new-builds, restored Victorian gems, and taken mid-century modern homes into the present day.  

Jessica can advise on:
-Floor Plan Layout
-Shopping Sources 
-Paint, Finishes & Color Advice 
-Cabinetry and Built-ins
-Career advice for aspiring designers
-Styling & Decor Tips
-Mixing High & Low
-Creative Direction 
- and more!

Looking forward to helping you on your design project!"
Kele + Christina (Colossus Mfg),"Creative + Interior Design Studio based in Encinitas, CA

Specializing in residential remodels, branding and hospitality design 

Hosts of Mashup Our Home on HGTV

Features: WSJ, Dwell, Domino, House Beautiful & more

Things we can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers 
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Christiane Lemieux,"Founder, DwellStudio (sold to Wayfair in 2013) Founder, The Inside (sold to Havenly in 2021) Founder, Lemieux Et Cie. Founding Member, Tonic. Serial Entrepreneur and Investor. 
-Fortune Most Powerful Woman 2012
-Fast Company Most Innovative Companies 2020 
- House Beautiful Visionaries 2020

Award Winning Designer, Entrepreneur, Investor and Best-Selling Author (books include Undecorate, The Finer Things, Frictionless)

Features: Architectural Digest, House Beautiful, Wired and The New York Times.

Investor in Madison Reed, Cuyana, Studs, Dame Products and more.

Regular advisor on GLG etc on industry trends and investment opportunities.

Board member Every Mother Counts.

Things I can advise on in Design:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- cabinetry and built-ins
- career advice for aspiring designers
- Licensing 
- Book Publishing
- Social Media for design
- product branding 
- creative direction 
- and more!

Things I can advise on in other areas:
- Startups
- e-commerce
- bootstrapping
- fundraising
- collaborations 
- Investing 
- exits 
- book deals 
- Metaverse
- AI
- Rendering 
- Web3
- NFT’s 
- and more 


Looking forward to helping you on your design project or life one 😊"
Michael Cox,"Michael is the Principal + Owner of foley&cox and foley&coxHOME. Founded in 2007, the renowned design studio is known for their distinctive yet approachable interiors

His work has been featured in publications, including Architectural Digest, Town & Country, Traditional Home, Hamptons Cottages and Gardens, Luxe Interiors, NY Spaces, Florida Design, and AD Germany

Previously Michael worked in various Home divisions of Polo/Ralph Lauren for 10 years. Production management refined his technical knowledge of manufacturing of furniture, fabric, wallpaper, lighting, and paint. As Design Director of furniture, he broadened his historical understanding and expertise in countries as diverse as Indonesia, England, Bali, France, Chile and the Philippines.

Things I can advise on: 
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

We love helping others and can’t wait to help you on your project! 😊"
Jean Liu,"Renowned Interior Designer + Principal based in Dallas, TX

Specializing in high-end residential, commercial, and hospitality projects

Known for creating modern, edited, comfortable, and inspired spaces

Features: Elle Decor, House Beautiful, Traditional Home, Town & Country, Architectural Digest, and The Wall Street Journal

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Elena Frampton,"Renowned Interior Designer & Art Advisor based in New York & Bridgehampton

Features: Arch Digest, WSJ, Galerie, NYT, Remodelista, Design Milk, Elle Décor, Cultured, Galerie + More

With an infectious enthusiasm for art and a rigorous understanding of design theory, Elena makes sense of every space and brings out its spirit. Her talent for clever solutions strikes a balance between pragmatism and personality, drawing even the most cautious of clients into her process. 

Elena is an engaging listener and aims to make art & design approachable and livable. 
 
Over the past two decades, Elena has transformed countless spaces, and established meaningful connections with long-term clients and collaborators. She is based between NYC and Bridgehampton, NY, where she operates two design studios and a gallery, Exhibition The Barn.
 
""My creative process starts with the client. Whether solving spatial problems or styling decor, my vision is tailored to each individual, and tells their stories through artful expression."" - Elena

Things I Can Advise On:
Designing for your unique lifestyle & long-term goals
How to create bold, artful, and yes, *livable* spaces
How to introduce pattern and color into your home
How to merge different styles and design sensibilities
The brass tacks - layout, color palettes, wall treatments, furnishings, window treatments, lighting
Styling – accessories, tabletop, shelves, and the soft stuff (pillows, throws)
Art collecting & installation - for new to established collectors
Budget advice - where to splurge & where to save

What To Expect (15 Min Call):
Advice on decorating one room
Ask three or more questions
Color and Art strategies and pitfalls to avoid
Go-to and under-the-radar sources to shop
Career advice for aspiring designers"
Chiara de Rege,"Renowned Interior Designer based in Manhattan, New York

Specializing in residential and commercial projects. All of her projects share a timeless sensibility brought to life with a mix of modern and traditional furnishings -- many custom-designed for each project. 

Featured in: ADPro, Vogue, Domino, ELLE, Dwell, MyDomaine, MarieClaire, Arch Digest, Vogue, The Cut, Vanity Fair & more 

Whether designing a celebrity’s home in the Hollywood Hills, a polished Upper East Side apartment, a contemporary urban loft, corporate offices in both NYC + LA, an all women’s membership club, retail stores or several upscale city restaurants, Chiara de Rege delivers unparalleled service and superior design acumen.

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, bookshelves, sofas, beds, walls etc.)
- paint/wall treatments and curtains/window treatments
- fixtures, finishes and trims
-Child and family friendly living
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Marika Meyer,"An interior designer with over 15 years of experience, Marika firmly believes that “life is not a dress rehearsal” — everyday luxuries are meant to be enjoyed, especially at home! The best spaces are those that tell your story. She works closely with clients, vendors, and partners to create unique, highly personalized spaces that meet a client’s individual style and needs. 

Marika is a full-spectrum designer specializing in comprehensive interior design, construction consulting services, and luxury textile design. Featured in House Beautiful, Traditional Home, WSJ, Veranda, Better Homes & Gardens, Business of Home, and more. 

Things Marika can advise on:
- Floor plan layout
- Stores and brands to consider
- Furniture selection, including working with vintage pieces
- Styling (surfaces, sofas, beds, walls, etc.)
- Paint/wall treatments and drapery/window treatments 
- Fixtures, finishes, and trims
- Career advice for aspiring designers
- Cabinetry and built-ins
- Product branding
- Creative direction
- And more!

Looking forward to helping you on your design journey!"
Joshua Smith,"Interior Designer based in Palm Springs • NYC • Vermont • Houston. With Projects nationwide

Specializing in high-end residential design

Features: House Beautiful, Veranda, The New York Times, Huffington Post and Rizzoli’s 2019 book, “On Style”

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Jen Samson,"Founder + Principal at JSD

Specializing in residential and boutique commercial spaces

Features: Domino, Elle Decor, Arch Digest, House Beautiful etc.

Jen offers a full range of creative services rooted in passionate and inspired design. She is known for combining styles to create spaces are sophisticated but relaxed, modern, often playful and always unique. 

Things I can advise on:
• floor plan layout 
• furniture and home decor selection and placement 
• styling (surfaces, sofas, beds, walls etc.)
• paint/wall treatments and drapery/window treatments
• fixtures, finishes and trims
• career advice for aspiring    designers
• cabinetry and built-ins
 and more!

Jen is warm, friendly and easy to talk to! 

""I believe that every home has its own unique story to be told, and that no two should look or feel the same. I would love to help bring a curated and creative vision to your project. Let's chat!"""
Sharon Rembaum,"Renowned Interior Designer based in NYC

Clients:

Features: House Beautiful, AD Italia, Casa Vogue, 1st Dibs, Rue Mag & more

Sharon specializes in carefully curated spaces that incorporate an eclectic mix of modern, vintage and antique furniture and design elements

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
CLOTH & KIND Studio,"CLOTH & KIND is a full-service design & decoration studio, a trade showroom, and an online retail shop led by Partners and Principal Designers Krista Nye Nicholas & Tami Ramsay. Widely lauded for creating incomparably unique spaces that are brimming with history, heart, story, and substance, each project consists of a meticulous mix of one-of-a-kind finds, bespoke pieces, and a heavy dose of textiles, color and pattern. 

There are so many ways in which we can lend our expertise in these short but power packed calls. Peruse the lists below for some ideas, but ultimately the time is yours and we will spend it in the way that is most useful to you. Your one-on-one session will be with either Krista or Tami. We look forward to rolling up our sleeves and getting to the beautiful work of design with you. 
xxK&T

Expertise for Design Clients:
- Provide tips for creating the color story and vibe for your space
- Share best practices for mixing patterns, colors, and textures to achieve a look that is unequivocally your own
- Review floor plans and make suggestions for alternative options
- Sourcing scoop! Our go-to stores and brands 
- Lighting a space for both form and function
- How to select the perfect shade of paint
- All things window treatments
- Selecting a stunning vintage or antique rug
- Styling with meaningful items
- Navigating the nuances of custom cabinetry and built-ins
- Kitchen and bathroom design advice
- Advice on interior and/or exterior materials selections
- Where to splurge and where to save
- Setting a realistic project budget
- Review and refinement of builder allowances 
- Selecting the right architect or builder for your project

Expertise for Interior Designers:
- Mentorship for new or mid-level designers 
- What you need to know when starting your own design studio
- Tools of the trade - the technology and processes that keep our business running super smoothly
- Pricing strategies 
- How to get press coverage
- The scoop on showhouses including associated costs and the ultimate value of participating 
- Best practices for hiring and firing
- Navigating trade shows like High Point Market, Maison & Objet, and Déco Off"
Kesha Franklin,"Kesha is known and celebrated for being a “Minimalist with Maximalist Intensions”, striking the right balance of interior harmony. 

Features: 
Elle Decor, Architectural Digest, House Beautiful, Dwell, Business of Home, & NBC Open House NYC. 

Acknowledgments: 
- Named one of “The World’s Best Contemporary Interior Designers” by Phaidon Magazine 
- D&D “Rising Design Star”
- The Black Interior Designer’s Network “Designer To Watch” 


Kesha Franklin has an intuitive sense of style, creativity and harmony. And, it shows, the spaces she creates are impeccable. 

To date, Kesha, a Goldman Sachs 10,000 Small Businesses alumna, has been named a “Rising Design Star” by NYC’s Iconic Decoration & Design Building. A “Designer to Watch” by the Black Interior Designer’s Network and most recently been recognized by Phaidon Publication as one of “The World’s Best Contemporary Interior Designers”. She has also been featured by Elle Décor’s House Tour, on NBC’s Open House NYC, in
 House Beautiful Magazine, Business of Home and ARRAY Magazine to name a few, and
 counts celebrities and high-profile athletes like Colin Kaepernick and Amare Stoudemire among her clientele.

With her innate sense of style, Kesha is defined by a commitment to highly personalized service for luxury interiors. 


Things I can advise on: 

- Space Planning 
- Brands & Stores for Sourcing 
- Interior Styling with Accessories 
- Wallpaper & Paint Treatments 
- Entrepreneurship 
- Career Advice for New and Aspiring Designers 

I love connecting with people and can’t wait to assist with your design needs!"
Mimi & Hill Studio,"Renowned Interior Design Firm based in New Jersey

Featured in: HGTV, Architectural Digest, Martha Stewart, House Beautiful, Elle Decor, Oprah Daily, Business of Home & more

Started in 2011, M&H Design creates authentic, unique spaces that speak to their clients’ individuality.

Best known for our knowledge of older homes and how to make them timeless. 

We're also experts in rental properties. We’re VRBO award winning superhosts with a decade long knowledge of second home procurement, rental value and hosting tips.

Things I can advise on:
- advice on floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- rental properties
- VRBO/AirBnB business models
- and more!

Looking forward to helping you on your design project 😊"
Peter Som,"Peter is a renowned fashion designer, creative director, and food expert! 

Peter can advise on the following:
- fashion design 
- the business of fashion
- recipes 
- creative direction

Peter’s brand, products, recipes, and designs have been featured in  publications including Bon Appétit Vogue, Elle Decor, Refinery29 and more. Additionally, notable women such as Michelle Obama, Beyoncé, Scarlett Johansson, and Maggie Gyllenhaal have worn Peter’s clothing."
Lisa Furtado,"Interior Designer based in the Bay Area 

Featured in: Domino, Modish, Apartment Therapy, Rue, & more

HGTV Designer of the Year

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling 
- favorite paint colors
- remodeling or building process
- career advice for aspiring designers
- cabinetry and built-ins
-creative direction 
- and more!"
Collyer’s Mansion,"The Collyer's Mansion design studio is led by owner Mauri Weakley and senior designer Laura Rucker.  Known for their buoyant use of color and pattern, they create whimsically layered spaces, calling upon their well curated line-up of artisans and craftsmen featured in their longstanding shop on Atlantic Avenue.

Features: Architectural Digest, Real Simple, Domino, & more

Things we can advise on: 
- floor plan layout 
- stores and brands to consider
- interior styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- creative direction 
- and more!

We look forward to helping you on your design journey!"
Jessica Sloane,"Jessica Sloane is a creative director, event planner, designer and stylist based in Nashville, TN

Named by Martha Stewart Weddings as one of the Best Wedding Planners in the country and one of the 27 Wedding Planners to Follow on Instagram.

Known for her client collaboration, she is widely known as someone who is able to tell a compelling story through creating interesting spaces. When working a wedding, the event is approached as an outward expression of the couple’s relationship. Taking into account elements of their journey and weaving in personalized elements with an eye for the natural environment.

Her work has been widely published and can be seen in Martha Stewart Weddings, BRIDES, Southern Living, Once Wed, Style Me Pretty, Geraldine, Magnolia Rouge and more.

Things I can advise on: 
- Wedding planning 
- Event design
- Working with a budget
- Creative direction
- How to personalize your event
- Career advice: wedding planners 

I love helping others and can’t wait to help you along your journey!"
Tori Rubinson,"Tori Rubinson is a Texas-based designer, passionate about classic interiors and homes built to last. She has a reputation for creating layered interiors that seamlessly blend old with new — and for creating spaces that are as comfortable as they are beautiful. 

Tori works on a wide range of projects, from custom, high-end homes to commercial; from large-scale remodels to new construction. These days she spends most of her time on whole-house design for families.

She’s been featured in Luxe Magazine, Southern Living, Southern Home Magazine, the Wall Street Journal, Fort Worth Magazine, and was recognized as a 2021 & 2022 D Home Best Designer.

Things Tori can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-creative direction 
- and more!

I love helping others and I can’t wait to help you on your next project! 😊"
Drew McGukin,"NYC-based Interior Designer

Specializing in 

Features: Arch Digest, Rue, 1st Dibs, KDHamptons, Cover, Introspective Mag, Houzz & more

Style: Known for a touch of the unexpected, combined with beautiful textures and bold patterns that vibrate with a perfect amount of sophistication, warmth, innovation, style, and approachability.

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Brittaney Elise,"Internationally Celebrated Expert Interior Architect + Designer, Creative Director. Founder of Design Studio: BE by Brittaney Elise. Founder of Designer Curated Home Marketplace: HOME by BE. 

Best known for her aesthetic eye, stylist talent, gift of touch in curating personalized spaces, and passion as a renowned interior designer and trendsetting tastemaker. Over the last 15 years, Brittaney has artistically designed projects for many leading business personnel, brands, and celebrities — cultivating relationships and creatively bringing visions to life across over 15 different cities. BE is a powerhouse with a truly inspiring story that thrives in the heart-space of HOME

SEEN IN:
Architectural Digest
Elle Decor
NY Magazine
CA Home + Design
Huffington Post
House Beautiful
+more

PROJECTS DESIGNED FOR:
Zendaya
Michael B Jordan
Daniella Monet
Selena Gomez
Bellami Hair Studios
Electric Entertainment


WHAT I CAN ADVISE ON:
- advice on floor plan layout 
- brands + vendors
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments
- types of window treatments
- mode and color/texture placements
- fixtures, finishes and trims
- custom furniture design
- millwork cabinetry + built-ins
- product branding 
- creative direction 
- thinking outside the box
- productivity + project efficiency
- career advice for aspiring designers
- and more!

Looking forward to helping you elevate your design project 🤍"
Peti Lau,"Celebrity award winning Interior Designer, and sought after tastemaker. 

Specializing in high-end residential and boutique commercial designs

Known for her bold eclectic modern touches, artful and timeless interiors

Features: Arch Digest, WSJ, House Beautiful, Elle Decor, 1st Dibs, Discovery Plus, HGTV, NBC, and Apartment Therapy, and People…

Named Los Angeles Times Top 25 Designers and New York’s Top 25 Designers by Coveted. 

Things I can advise on:
- floor plan layout 
- design schemes
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Sean Leffers,"Founder + Principal at Sean Leffers Interiors based in Los Angeles

Features: Arch Digest, House Beautiful, Elle Decor & more

His work embraces layers, textiles, and materiality to create spaces with warmth, vitality, and sophistication

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Bella Zakarian Mancini,"NYC and Hamptons based interior designer. 

Featured in AD, Elle Decor, Luxe, House Beautiful & many more. 

I am best known for my approachable manner and my ability to create warm and beautiful interiors that are meant to be lived in. My goal is to take the stress out of interior design and make it a fun and rewarding process for the both the client and my firm. With over 20 years as a business owner I can quickly assess what works, what doesn't, and how to get your home from blah to WOW in a fast and organized manner. 

Things we can talk about:
- furniture plan layouts  
- stores and brands to consider
- styling tips and tricks
- paint color and wall treatment ideas 
- drapery/window treatment ideas
- bathroom and kitchen design advice and material selection ideas
- career advice for aspiring designers
- cabinetry and built-ins 
- creative direction consultation 

I am really looking forward to helping you with your design project!"
Tess Twiehaus,"Our mission is to tell your story within your walls. We are focused on creating meaningful experiences within spaces that bring people together and exhibit their individuality. It’s not about showcasing our signature style. It’s about understanding your way of living and elevating the spirit of your surroundings. 

Features: Voyage LA

CONSTRUCTION:
- space planning
- materials & finishes (tile, stone, paint, etc.)
- fixtures (plumbing, appliances, hardware, etc.)
- custom cabinetry 

FURNITURE & STYLING:
- where to shop (from $ to $$$)
- lighting
- how to accessorize & layer
- textiles (mixing patterns and colors)
- budgeting 

BUSINESS:
- getting started in the industry
- finding your unique point of view 
- organizing your business
- project management
- growing your team 

You are one of a kind and your home should be too. Excited to help make that happen! 🤙🏼"
Olga Naiman,"Renowned Interior Designer & Founder of Spatial Alchemy, where interior design meets personal transformation. I weave psychology and soul into every aspect of the interior design experience. 

For the past 20 years, I have worked with shamans, healers, coaches, plant medicine, meditation, tantra, chi gong—you name it, I dove into it, with great personal results. 

Simultaneously, my design career was flourishing. My work was featured in Vogue, Domino Magazine, House Beautiful Magazine and Elle Decor.  

I realized that while spaces could be exquisite, if a deeper understanding of the homeowner’s psyche wasn’t addressed, their ability to deeply impact their life would be limited. 

Beauty = Beauty
Beauty + Awareness = Gold

Together on a Spatial Strategy call we can:
- create a road map to clear blockages in your home & guide you to your future self
- anchor positive emotions into key spots of your home
- expand what you believe you deserve, somatically, through your home 
- design your bedroom to call more intimacy into your life 
- cultivate a bespoke experience within your desired timeline

By the end of this call, you will have a clear vision for your space & understand how to actualize it 

Looking forward to connecting with you on your design project 😊"
Devon Liedtke,"Devon is a tastemaker and multi-disciplinary designer known for her fresh take on collected minimalism. Based in Barcelona, she is also the founder and creative director of her namesake brand Devon Liedtke. 

Devon has created content for brands such as Bloomist, Cultiver Goods and Rue and has been featured across Elle Decor, AD, and Veranda among others.
Devon can advise on: 
- interior design & styling
- creative direction
- career advice for aspiring creatives
- defining your personal style 
- content creation 
-product development"
Julee Ireland,"Renowned Interior Design Architect, Home Renovation School Founder, TV Host, Product Designer

Best known as Interior Design/Build Expert, International Product Designer, and TV Host. Renovated over 1,000 homes with projects from the Hamptons to Los Angeles

Featured in: Forbes, Elle Decor, Real Simple, National Campaigns, Publications, and TV such as ABC, NBC, CBS, FOX News, Good Day Houston, KTLA, Good Things Utah, Good Day Columbus, Good Day Tampa Bay and more

I’m an intuitive designer with the ability to connect with my clients on all levels. This allows me to quickly hone in on your design style and overall vision for the project

Together we can design, build, flip, or renovate your dream home like a pro. Saving you time and money 🫶

Things I can advise on:
- how to define your design style to achieve your dream home interiors
- architectural plans and floor plan layout 
- planning, budgets, construction, real estate, and airbnb
- all things airbnb
- marketing guidance to maximize your profit for airbnb’s or the sale of real estate 
- tips on pool, landscape & outdoor design
- money-saving tips & best places to buy
- paint, wall, trim, and ceiling design and finishes
- stairs, doors, windows, roof, fixtures, and finishes
- career advice for aspiring designers, contractors, or real estate investors
- creative direction
- and more!

It’s your home, your life, and you should love it!
I can’t wait to help you achieve your dream home vision on your next design, build, flip, or renovation project!  😊"
Maryline Damour,"Co-founder/Principal Designer, Damour Drake 
Founder, Kingston Design Showhouse

Featured in: House Beautiful, Elle Decor, Architectural Digest, The Drew Barrymore Show, PBS, Forbes, Wall Street Journal, The New York Times, etc.

I’m a designer/co-founder of a design-build firm and founder of the Kingston Design Showhouse, created to connect the upstate NY design-build industry for local economic development and to showcase great design. House Beautiful was our 5th annual showhouse ‘22 media partner.

For design advice, I can help with:
- floor plan layout/furniture placement
- styling, finishes, fixtures, cabinetry, etc.
- selecting colors and wall/window treatments 
- tips to save time+money on design and building projects 

For business advice (I’m a former management consultant for Fortune 500 companies):
- how to develop/manage your creative business
- getting press and getting published
- targeting your audience for success
- developing marketing/communication plans 

Looking forward to working with you 🙂"
Rebecca Birdwell,"Architecture and interior design maven known for being an information specialist with deep connections in the design industry.

Passionate about passing on what I’ve learned in over 2 decades and helping others achieve their business & design goals. 

I will help you build, solve, break thru road blocks and envision a successful company that will become a reality 🤩

Things I can advise on:
- brand conception and positioning
- strategic path making
- defining professional initiatives
- portfolio review 
- social media review
- project team building
- company team building
- networking and industry connections
- art direction
- websites 
- printed communications
- event concepts 
- book strategy

What I loved most about my time at the DLN was being readily accessible to top tier design professionals and CEOs to support their design business journey. Intro gives me the ability to continue strengthening our community with creative thinking and out of the box solutions. 

I am a conduit with strategic and creative problem solving skills who spent 9 years building and growing a successful design industry networking organization with the highest level design and architecture professionals, photographers, graphic artists, makers and top tier product and service CEOs."
Meagan Camp,"Renowned Interior Designer based in NYC

Specializing in Luxury Residential Design

Features: Architectural Digest, Elle Decor, Business of Home, House Beautiful, Domino, Martha Stewart, Rue Magazine, & more

Her style is best known for mixing the freshness found in California with the traditionalism found on the East Coast - “Fresh Elegance”

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
